"","Region","Year","Taxon","Depth","Length"
"91","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,69.5
"92","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,18.5
"93","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,20.5
"94","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,24.5
"95","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,25.5
"96","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,26.5
"97","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,28.5
"98","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,33.5
"99","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,37.5
"100","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,38.5
"101","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,42.5
"102","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,48.5
"103","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,49.5
"104","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,50.5
"105","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,52.5
"106","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,56.5
"107","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,35.5
"108","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,40.5
"109","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,41.5
"110","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,45.5
"111","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,46.5
"112","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,47.5
"113","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,49.5
"114","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,50.5
"115","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,55.5
"116","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,62.5
"117","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,27.5
"118","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,37.5
"119","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,41.5
"120","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,42.5
"121","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,44.5
"122","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,45.5
"123","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,46.5
"124","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,47.5
"125","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,48.5
"126","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,49.5
"127","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,52.5
"128","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,54.5
"129","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,56.5
"130","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,58.5
"131","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,63.5
"132","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,17.5
"133","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,27.5
"134","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,43.5
"135","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,44.5
"136","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,45.5
"137","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,46.5
"138","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,47.5
"139","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,48.5
"140","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,49.5
"141","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,52.5
"142","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,55.5
"143","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,56.5
"144","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,57.5
"145","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,58.5
"146","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,63.5
"147","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,64.5
"148","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,24.5
"149","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,25.5
"150","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,45.5
"151","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,49.5
"152","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,50.5
"153","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,51.5
"154","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,52.5
"155","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,57.5
"156","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,61.5
"157","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,23.5
"158","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,24.5
"159","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,30.5
"160","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,33.5
"161","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,40.5
"162","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,44.5
"163","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",227,17.5
"164","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",227,29.5
"165","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",227,52.5
"166","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,17.5
"167","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,24.5
"168","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,25.5
"169","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,27.5
"170","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,47.5
"171","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,56.5
"172","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,58.5
"173","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,17.5
"174","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,21.5
"175","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,36.5
"176","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,45.5
"177","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,70.5
"178","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,27.5
"179","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,29.5
"180","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,33.5
"181","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,40.5
"182","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,47.5
"183","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,52.5
"184","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",288,38.5
"185","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",288,43.5
"186","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",288,49.5
"187","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",302,39.5
"188","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",302,57.5
"189","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",309,42.5
"190","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,19.5
"191","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,24.5
"192","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,25.5
"193","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,31.5
"194","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,34.5
"195","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,36.5
"196","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,38.5
"197","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,40.5
"198","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,38.5
"199","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,39.5
"200","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,45.5
"201","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,47.5
"202","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,43.5
"203","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,48.5
"204","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",341,60.5
"205","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",408,58.5
"206","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,41.5
"207","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,43.5
"208","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,45.5
"209","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,47.5
"210","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,49.5
"211","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,50.5
"212","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,51.5
"213","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,52.5
"214","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,53.5
"215","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,56.5
"216","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,57.5
"217","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,58.5
"218","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,59.5
"219","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",86,33.5
"220","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,21.5
"221","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,26.5
"222","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,27.5
"223","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,30.5
"224","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,32.5
"225","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,37.5
"226","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,16.5
"227","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,17.5
"228","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,20.5
"229","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,21.5
"230","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,22.5
"231","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,23.5
"232","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,27.5
"233","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,29.5
"234","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,32.5
"235","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,34.5
"236","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,35.5
"237","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,37.5
"238","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,38.5
"239","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,46.5
"240","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,16.5
"241","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,24.5
"242","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,25.5
"243","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,32.5
"244","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,33.5
"245","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,34.5
"246","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,35.5
"247","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,38.5
"248","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,39.5
"249","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,42.5
"250","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,21.5
"251","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,22.5
"252","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,23.5
"253","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,24.5
"254","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,31.5
"255","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,32.5
"256","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,33.5
"257","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,34.5
"258","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,35.5
"259","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,36.5
"260","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,39.5
"261","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,41.5
"262","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,42.5
"263","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,43.5
"264","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,44.5
"265","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,46.5
"266","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,20.5
"267","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,21.5
"268","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,22.5
"269","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,23.5
"270","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,24.5
"271","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,25.5
"272","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,26.5
"273","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,27.5
"274","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,28.5
"275","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,30.5
"276","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,31.5
"277","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,32.5
"278","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,33.5
"279","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,34.5
"280","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,35.5
"281","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,36.5
"282","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,37.5
"283","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,38.5
"284","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,40.5
"285","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,41.5
"286","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,45.5
"287","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,46.5
"288","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,12.5
"289","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,25.5
"290","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,26.5
"291","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,27.5
"292","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,30.5
"293","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,32.5
"294","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,35.5
"295","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,20.5
"296","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,21.5
"297","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,22.5
"298","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,23.5
"299","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,24.5
"300","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,25.5
"301","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,26.5
"302","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,27.5
"303","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,28.5
"304","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,30.5
"305","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,31.5
"306","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,32.5
"307","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,33.5
"308","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,34.5
"309","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,35.5
"310","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,36.5
"311","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,37.5
"312","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,38.5
"313","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,39.5
"314","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,40.5
"315","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,42.5
"316","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,43.5
"317","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,44.5
"318","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,45.5
"319","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,17.5
"320","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,20.5
"321","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,21.5
"322","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,22.5
"323","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,23.5
"324","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,24.5
"325","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,25.5
"326","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,26.5
"327","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,27.5
"328","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,29.5
"329","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,30.5
"330","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,32.5
"331","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,33.5
"332","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,34.5
"333","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,35.5
"334","South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",128,36.5
