"","X","Region","Year","Taxon","Depth","Length"
"45",45,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,49.5
"46",46,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,50.5
"47",47,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,52.5
"48",48,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,53.5
"49",49,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,54.5
"50",50,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,55.5
"51",51,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,57.5
"52",52,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,58.5
"53",53,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,59.5
"54",54,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,60.5
"55",55,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,62.5
"56",56,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,33.5
"57",57,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,40.5
"58",58,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,41.5
"59",59,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,43.5
"60",60,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,44.5
"61",61,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,45.5
"62",62,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,48.5
"63",63,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,49.5
"64",64,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,51.5
"65",65,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,52.5
"66",66,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,54.5
"67",67,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,55.5
"68",68,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,56.5
"69",69,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,59.5
"70",70,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,60.5
"71",71,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,63.5
"72",72,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,17.5
"73",73,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,26.5
"74",74,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,49.5
"75",75,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,51.5
"76",76,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,52.5
"77",77,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,53.5
"78",78,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,56.5
"79",79,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,57.5
"80",80,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,61.5
"81",81,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,62.5
"82",82,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,44.5
"83",83,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,48.5
"84",84,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,50.5
"85",85,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,53.5
"86",86,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,59.5
"87",87,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,61.5
"88",88,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,63.5
"89",89,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,64.5
"90",90,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,65.5
"91",91,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,69.5
"92",92,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,18.5
"93",93,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,20.5
"94",94,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,24.5
"95",95,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,25.5
"96",96,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,26.5
"97",97,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,28.5
"98",98,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,33.5
"99",99,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,37.5
"100",100,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,38.5
"101",101,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,42.5
"102",102,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,48.5
"103",103,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,49.5
"104",104,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,50.5
"105",105,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,52.5
"106",106,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",147,56.5
"107",107,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,35.5
"108",108,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,40.5
"109",109,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,41.5
"110",110,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,45.5
"111",111,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,46.5
"112",112,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,47.5
"113",113,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,49.5
"114",114,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,50.5
"115",115,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,55.5
"116",116,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",161,62.5
"117",117,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,27.5
"118",118,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,37.5
"119",119,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,41.5
"120",120,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,42.5
"121",121,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,44.5
"122",122,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,45.5
"123",123,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,46.5
"124",124,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,47.5
"125",125,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,48.5
"126",126,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,49.5
"127",127,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,52.5
"128",128,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,54.5
"129",129,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,56.5
"130",130,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,58.5
"131",131,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",162,63.5
"132",132,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,17.5
"133",133,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,27.5
"134",134,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,43.5
"135",135,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,44.5
"136",136,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,45.5
"137",137,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,46.5
"138",138,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,47.5
"139",139,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,48.5
"140",140,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,49.5
"141",141,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,52.5
"142",142,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,55.5
"143",143,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,56.5
"144",144,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,57.5
"145",145,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,58.5
"146",146,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,63.5
"147",147,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",192,64.5
"148",148,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,24.5
"149",149,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,25.5
"150",150,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,45.5
"151",151,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,49.5
"152",152,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,50.5
"153",153,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,51.5
"154",154,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,52.5
"155",155,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,57.5
"156",156,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",201,61.5
"157",157,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,23.5
"158",158,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,24.5
"159",159,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,30.5
"160",160,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,33.5
"161",161,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,40.5
"162",162,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",220,44.5
"163",163,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",227,17.5
"164",164,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",227,29.5
"165",165,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",227,52.5
"166",166,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,17.5
"167",167,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,24.5
"168",168,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,25.5
"169",169,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,27.5
"170",170,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,47.5
"171",171,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,56.5
"172",172,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",234,58.5
"173",173,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,17.5
"174",174,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,21.5
"175",175,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,36.5
"176",176,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,45.5
"177",177,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",244,70.5
"178",178,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,27.5
"179",179,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,29.5
"180",180,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,33.5
"181",181,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,40.5
"182",182,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,47.5
"183",183,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",285,52.5
"184",184,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",288,38.5
"185",185,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",288,43.5
"186",186,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",288,49.5
"187",187,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",302,39.5
"188",188,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",302,57.5
"189",189,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",309,42.5
"190",190,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,19.5
"191",191,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,24.5
"192",192,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,25.5
"193",193,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,31.5
"194",194,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,34.5
"195",195,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,36.5
"196",196,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,38.5
"197",197,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",310,40.5
"198",198,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,38.5
"199",199,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,39.5
"200",200,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,45.5
"201",201,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,47.5
"202",202,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,43.5
"203",203,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",312,48.5
"204",204,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",341,60.5
"205",205,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",408,58.5
"206",206,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,41.5
"207",207,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,43.5
"208",208,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,45.5
"209",209,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,47.5
"210",210,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,49.5
"211",211,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,50.5
"212",212,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,51.5
"213",213,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,52.5
"214",214,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,53.5
"215",215,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,56.5
"216",216,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,57.5
"217",217,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,58.5
"218",218,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",428,59.5
"219",219,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",86,33.5
"220",220,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,21.5
"221",221,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,26.5
"222",222,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,27.5
"223",223,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,30.5
"224",224,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,32.5
"225",225,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",89,37.5
"226",226,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,16.5
"227",227,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,17.5
"228",228,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,20.5
"229",229,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,21.5
"230",230,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,22.5
"231",231,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,23.5
"232",232,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,27.5
"233",233,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,29.5
"234",234,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,32.5
"235",235,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,34.5
"236",236,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,35.5
"237",237,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,37.5
"238",238,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,38.5
"239",239,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",92,46.5
"240",240,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,16.5
"241",241,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,24.5
"242",242,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,25.5
"243",243,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,32.5
"244",244,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,33.5
"245",245,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,34.5
"246",246,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,35.5
"247",247,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,38.5
"248",248,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,39.5
"249",249,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",99,42.5
"250",250,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,21.5
"251",251,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,22.5
"252",252,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,23.5
"253",253,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,24.5
"254",254,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,31.5
"255",255,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,32.5
"256",256,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,33.5
"257",257,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,34.5
"258",258,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,35.5
"259",259,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,36.5
"260",260,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,39.5
"261",261,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,41.5
"262",262,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,42.5
"263",263,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,43.5
"264",264,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,44.5
"265",265,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",106,46.5
"266",266,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,20.5
"267",267,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,21.5
"268",268,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,22.5
"269",269,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,23.5
"270",270,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,24.5
"271",271,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,25.5
"272",272,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,26.5
"273",273,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,27.5
"274",274,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,28.5
"275",275,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,30.5
"276",276,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,31.5
"277",277,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,32.5
"278",278,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,33.5
"279",279,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,34.5
"280",280,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,35.5
"281",281,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,36.5
"282",282,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,37.5
"283",283,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,38.5
"284",284,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,40.5
"285",285,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,41.5
"286",286,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,45.5
"287",287,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",107,46.5
"288",288,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,12.5
"289",289,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,25.5
"290",290,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,26.5
"291",291,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,27.5
"292",292,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,30.5
"293",293,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,32.5
"294",294,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",114,35.5
"295",295,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,20.5
"296",296,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,21.5
"297",297,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,22.5
"298",298,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,23.5
"299",299,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,24.5
"300",300,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,25.5
"301",301,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,26.5
"302",302,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,27.5
"303",303,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,28.5
"304",304,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,30.5
"305",305,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,31.5
"306",306,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,32.5
"307",307,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,33.5
"308",308,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,34.5
"309",309,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,35.5
"310",310,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,36.5
"311",311,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,37.5
"312",312,"South Shetland Is.",1998,"CHAMPSOCEPHALUS GUNNARI",115,38.5
